spanish,english
debe,has to
realmente,Really
estas,are
aún,still
mío,Own
toda,all
hacerlo,do it
cada,each
visto,viewed
importa,import
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,to know
hizo,did
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,late
problema,trouble
hora,hour
cierto,certain
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,last
familia,family
estos,these
policía,policeman
debería,it should
ustedes,you guys
chica,girl
esos,those
chicos,Boys
cuenta,bill
haces,you do
todavía,yet
salir,get out
algún,some
vaya,Wow
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,affection
digo,say
van,go
hombres,mens
buenas,good
somos,are
cualquier,any
forma,shape
mientras,While
lado,side
debo,I must
sería,would
caso,case
pueden,may
pasó,step
primera,first
genial,brilliant
chico,guy
supuesto,assumption
hice,I made
pues,then
adiós,bye
muchas,many
personas,persons
señora,Ms
volver,return
esas,those
quizá,perhaps
contra,against
camino,path
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,help
historia,history
iba,I was going
supongo,I suppose
nueva,new
entiendo,I get it
dentro,within
casi,almost
puerta,door
ves,you see
pasar,pass
primero,first
significa,it means
semana,week
hacia,toward
quizás,maybe
espero,wait
juntos,together
año,year
niños,kids
pronto,early
tío,uncle
suerte,luck
ciudad,town
siquiera,even
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how many
os,you
hey,Hey
muerte,death
dejar,let
realidad,reality
deja,leaves
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,afraid
jefe,boss
agua,Water
haré,I will do
justo,just
horas,hours
poder,can
buenos,good ones
esposa,wife
manos,hands
debes,you should
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,ahead
encontrar,find
mano,hand
cinco,five
niño,kid
ninguna,none
otros,others
cara,face
cuidado,watch out
bajo,low
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,pretty
fin,end
tomar,take
único,unique
misma,one.
escucha,listens
ningún,No.
suficiente,enough
punto,point
cuándo,when
sigue,follow
haya,is
equipo,team
grande,big
necesita,needs to
llegar,to get
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,although
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
mas,more
dices,You say
pequeño,little
llama,call
toma,taking
hiciste,did
allá,there
última,last.
arriba,above
tierra,Earth
guerra,war
pensar,to think
pueda,can.
igual,equal
loco,mad
sangre,blood
mujeres,women
vuelta,lap
fui,I was
trabajar,to work
tenido,Dyed
juego,play
deberías,you should
cuerpo,body
e,and
algunas,some
entrar,get in
cree,CREE.
podía,I could
debemos,must
oportunidad,chance
teléfono,telephone
necesitamos,need
final,final
listo,Ready
fiesta,party
muchos,Many
estabas,you were there
quieren,They want.
vete,go away
auto,car
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,fault
abajo,down
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,question
chicas,girls
eran,were
unas,nails
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,Ms.
bebé,baby
segundo,second
sabemos,we know
mayor,higher
comida,meal
morir,To die
conozco,know
dame,give to me
fácil,easy
comer,eat
vino,came
lista,ready
haga,make
necesitas,you need
hijos,sons
probablemente,probably
padres,parents
habitación,bedroom
creer,to believe
pensando,thinking
fueron,They were
dime,tell me
trata,about
buscando,searching
tuve,I had
tampoco,either
amo,love
joven,young man
podrías,could you
sola,alone
par,pair
única,only
hacen,make
seguir,continue
dr.,DR.
simplemente,simply
dicen,they say
medio,half
puta,bitch
saben,Saben.
sentido,sense
hagas,you do
segura,safe
esperar,expect
lejos,far
arma,weapon
alto,high
pequeña,small
dólares,Dollars
seis,six
estaban,They were
seguridad,security
maldita,damned
estuvo,he was
preocupes,WORLD
palabra,word
esperando,waiting
queda,remains
oficina,office
matar,kill
iré,I will go
cama,bed
además,what's more
último,latest
oído,hearing
habría,there would be
estará,will be
dio,it gave
recuerdo,I remember
siendo,being
acerca,about
tenga,have
luz,light
correcto,Right
ud.,You.
demonios,got damn
nuestras,ours
verte,to see you
dormir,to sleep
sitio,site
ayudar,help
conseguir,to get
di,gave
marido,husband
paz,peace
idiota,moron
plan,plan
dado,dice
cuanto,how much
peor,worse
murió,died
pueblo,village
vivo,alive
venido,I come
john,John.
basta,Enough
paso,He passed
deberíamos,we should
música,music
diga,SIGE.
minuto,minute
anoche,last night
llamar,to call
piensa,think
país,country
digas,you say
rey,King
perdón,sorry
mucha,a lot
falta,lack
pienso,I think
diablos,Devils
perdido,lost
niña,girl
señorita,miss
diez,ten
lleva,carries
hospital,hospital
grandes,big
maldito,damned
otras,Others
llamado,called
hacemos,we make
llevar,carry
fuego,fire
aqui,here
tuvo,had
poner,put
calle,Street
acaba,just
prueba,proof
increíble,amazing
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,Lasted
empezar,start
afuera,outside
queremos,we want
perro,dog
cielo,heaven
jack,Jack
puesto,Market Stall
viaje,trip
detrás,behind
cuarto,room
querida,Dear
haría,would do
preguntas,questions
piensas,You think
querido,Dear
libre,free
buscar,search for
cual,which
diré,I'll say
suena,sounds
jugar,play
cambio,change
película,film
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,bad
presidente,President
srta.,Ms.
irme,go
ropa,clothing
perder,miss
vuelve,returns
agente,agent
palabras,words
información,information
raro,rare
hará,he will do
entiendes,you understand
éste,this
trabajando,working
tratando,trying
general,general
trato,treatment
usar,use
perfecto,perfect
derecho,right
modo,mode
ayer,Yesterday
conoces,you know
demás,the rest
quieras,want.
podríamos,we could
noticias,news
asesino,assassin
encontrado,Found
control,control
odio,hate
frente,front
sexo,sex
decirle,tell him.
estaré,I will be
divertido,funny
armas,weapons
recuerdas,remember
amiga,friend
grupo,group
asunto,affair
acabo,finished
mensaje,message
encima,above
atención,attention
diferente,different
uh,Uh
cállate,shut
daño,hurt
sucede,happens
cambiar,change
siguiente,following
sino,otherwise
the,The.
seas,Seas.
médico,doctor
boca,mouth
dejó,let
error,error
jamás,Never
largo,long
pena,pain
voz,voice
futuro,future
siente,Feel
secreto,secret
baño,bathroom
mil,thousand
decirte,tell you
sam,Sam.
pensaba,thought
novia,bride
propia,own
sueño,sleep
haz,make
fuerza,strength
deben,they should
supone,Suppose
estábamos,We were
ambos,both of them
ay,Oh
estuve,was
encontré,I found
vuelto,turned
dolor,pain
dile,tell him
encanta,loves
edad,age
darle,give him
pie,foot
negro,black
ganar,to win
york,york
aire,air
lamento,lament
verlo,see him
asesinato,murder
vio,saw
adónde,where to
llegado,arrived
disculpe,excuse me
s,S.
cita,appointment
estaría,It would
fuiste,you were
sistema,system
gusto,taste
pobre,poor
negocio,business
mente,mind
tuyo,yours
campo,countryside
mire,Look
situación,situation
tras,after
hotel,hotel
vosotros,you all
funciona,it works
foto,Photo
abogado,attorney
loca,crazy
propio,own
alrededor,around
próxima,Next
terminado,finished
hablas,speak
pagar,to pay
mató,killed
llamo,I call
personal,personal
sientes,you feel
ocurre,occurrence
ésta,is
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,You had
viste,dresses
oficial,official
llegó,I arrive
compañía,company
relación,relationship
conoce,known
pase,happens
montón,heap
mejores,top
creí,I believed.
cena,Dinner
sentir,feel
través,through
accidente,accident
i,I.
ellas,they
caja,box
tranquilo,quiet
bonito,nice
eras,ages
asi,So
pudo,he could
vive,it lives
vista,view
estúpido,stupid
línea,line
caballeros,gentlemen
haremos,will
dan,Dan.
quédate,stay
tienda,shop
comprar,to buy
entendido,it is understood
centro,center
salvo,except
mes,month
joe,Joe.
sol,Sun
tonto,fool
hambre,hunger
michael,Michael
mesa,desk
respuesta,answer
completamente,completely
david,David
carta,letter
totalmente,totally
imposible,impossible
pruebas,tests
novio,boyfriend
normal,normal
gustan,like
frank,Frank.
pude,could
charlie,Charlie.
traje,costume
dirección,address
siete,seven
dijeron,They said
placer,pleasure
sean,Sean.
tendrá,will have
barco,boat
blanco,White
tom,Tom.
profesor,teacher
servicio,service
muchacho,young guy
reunión,meeting
dejado,left
ley,law
quisiera,I'd like
hubo,there was
george,George.
programa,Program
carrera,career
cumpleaños,birthday
muchachos,Boys
culo,ass
canción,song
hermosa,beautifull
universidad,University
boda,wedding
decirme,tell me
cualquiera,any
tengas,You have
hacía,toward
estés,Bene
sala,living room
llevo,I wear
decisión,decision
espere,Wait
don,Don
necesario,necessary
sal,Salt
entra,enters
prisa,rush
carajo,Carajo.
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,listen
abuela,Grandma
hicieron,they made
detective,detective
horrible,horrible
suelo,ground
fotos,photos
cárcel,jail
acá,here
io,io
mike,Mike.
siéntate,Sit down
decía,He said
intentando,trying
vámonos,Let's go
maldición,curse
silencio,be quiet
muerta,dead
capaz,capable
salió,he left
club,club
terminar,end up
temo,fear
broma,joke
gobierno,government
prometo,I promise
cámara,camera
media,half
terrible,terrible
llamó,I call
regalo,present
amable,nice
dulce,sweet
muertos,deado.
querías,You wanted
ataque,attack
das,you give
navidad,Christmas
negocios,business
pudiera,I could
ocho,Eight
avión,airplane
investigación,investigation
acabó,just
juro,Juro.
mantener,maintain
ejército,army
papel,paper
partes,Parties
ten,Ten.
gracioso,funny
diría,would say
principio,beginning
delante,in front of
teniente,lieutenant
deseo,wish
vayas,VAYA.
nave,ship
sale,comes out
basura,trash
vine,came
contacto,Contact
esposo,husband
tren,train
encontramos,we find
dale,Go ahead
verdadero,true
tuya,yours
alma,soul
hazlo,do it
disculpa,Sorry
junto,together
anda,goals
tendré,I will have
matrimonio,marriage
saberlo,Know it
locura,craziness
oro,gold
permiso,Excuse me
director,director
peligro,danger
libertad,Liberty
alegro,glad
baja,come down
tendremos,we will have
derecha,right
encuentra,find
pies,feet
segunda,second
maravilloso,marvelous
espacio,space
rato,a while
abuelo,grandfather
esperaba,I expected
mirando,looking
salud,Health
sorpresa,surprise
ninguno,none
miren,Look
triste,sad
aun,yet
pensado,thought-out
maestro,teacher
según,according
infierno,hell
podrían,could
tipos,types
tía,aunt
crimen,crime
conocido,known
consejo,tip
ante,in view of
iglesia,church
